unit,geo,time,value,flag,crux_ingestion_dt,crux_supplier_implied_dt,crux_delivery_id,crux_resource_id
I00,BE,2008,95.8,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BE,2009,93.3,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BE,2010,90.9,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BE,2011,87.5,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BE,2012,90.8,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BE,2013,87.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BE,2014,85.8,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BE,2015,90.1,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BE,2016,83.6,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BE,2017,83.6,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
